nom,prenom,age,totalbut,poste,equipe
Weah,Timothy ,22 févr. 2000(18),3,Avant centre                            ,Paris SG
Ngamukol,Anatole ,15 janv. 1988(30),Journée,Avant centre                            ,Stade Reims
Chavarría,Pablo ,2 janv. 1988(30),10,Avant centre                            ,Stade Reims
Suk,Hyun-jun ,29 juin 1991(27),9,Avant centre                            ,Stade Reims
Ojo,Sheyi ,19 juin 1997(21),8,Ailier droit                            ,Stade Reims
Oudin,Rémi ,18 nov. 1996(21),10,Ailier droit                            ,Stade Reims
Doumbia,Moussa ,15 août 1994(24),7,Ailier gauche                            ,Stade Reims
Piechocki,Virgile ,12 janv. 1997(21),Journée,,Stade Reims
Martin,Marvin ,10 janv. 1988(30),6,Milieu offensif                            ,Stade Reims
Cafaro,Mathieu ,25 mars 1997(21),9,Milieu offensif                            ,Stade Reims
Ndom,Aly ,30 mai 1996(22),5,Milieu central                            ,Stade Reims
Dingomé,Tristan ,17 févr. 1991(27),Journée,Milieu central                            ,Stade Reims
Chavalerin,Xavier ,7 mars 1991(27),9,Milieu central                            ,Stade Reims
Mbemba,Nolan ,19 févr. 1995(23),3,,Stade Reims
Romao,Alaixys ,18 janv. 1984(34),10,Milieu défensif                            ,Stade Reims
Métanire,Romain ,28 mars 1990(28),4,Arrière droit                            ,Stade Reims
Foket,Thomas ,25 sept. 1994(24),14,Arrière droit                            ,Stade Reims
Bana,Moussa ,1 oct. 1997(21),Journée,,Stade Reims
Kamara,Hassane ,5 mars 1994(24),3,Arrière gauche                            ,Stade Reims
Konan,Ghislain ,27 déc. 1995(22),10,Arrière gauche                            ,Stade Reims
Disasi,Axel ,11 mars 1998(20),1,Défenseur central                            ,Stade Reims
Fontaine,Thomas ,8 mai 1991(27),4,Défenseur central                            ,Stade Reims
Abdelhamid,Yunis ,28 sept. 1987(31),10,Défenseur central                            ,Stade Reims
Engels,Björn ,15 sept. 1994(24),6,Défenseur central                            ,Stade Reims
Lemaître,Nicolas ,12 janv. 1997(21),Journée,,Stade Reims
Carrasso,Johann ,7 mai 1988(30),-,Gardien de but                            ,Stade Reims
Mendy,Edouard ,1 mars 1992(26),10,Gardien de but                            ,Stade Reims
Choupo-Moting,Eric Maxim ,23 mars 1989(29),4,Avant centre                            ,Paris SG
Cavani,Edinson ,14 févr. 1987(31),9,Avant centre                            ,Paris SG
Diaby,Moussa ,7 juil. 1999(19),7,Ailier droit                            ,Paris SG
Di María,Ángel ,14 févr. 1988(30),13,Ailier droit                            ,Paris SG
Mbappé,Kylian ,20 déc. 1998(19),8,Ailier droit                            ,Paris SG
Jesé,,26 févr. 1993(25),Journée,Ailier gauche                            ,Paris SG
Neymar,,5 févr. 1992(26),11,Ailier gauche                            ,Paris SG
Adli,Yacine ,29 juil. 2000(18),Journée,Milieu offensif                            ,Paris SG
Draxler,Julian ,20 sept. 1993(25),10,Milieu offensif                            ,Paris SG
Bernede,Antoine ,26 mai 1999(19),3,Milieu central                            ,Paris SG
Nkunku,Christopher ,14 nov. 1997(20),10,Milieu central                            ,Paris SG
Rabiot,Adrien ,3 avr. 1995(23),12,Milieu central                            ,Paris SG
Verratti,Marco ,5 nov. 1992(25),8,Milieu central                            ,Paris SG
Diarra,Lassana ,10 mars 1985(33),4,Milieu défensif                            ,Paris SG
Dagba,Colin ,6 sept. 1998(20),4,Arrière droit                            ,Paris SG
Alves,Dani ,6 mai 1983(35),Journée,Arrière droit                            ,Paris SG
Meunier,Thomas ,12 sept. 1991(27),9,Arrière droit                            ,Paris SG
N'Soki,Stanley ,9 avr. 1999(19),5,Arrière gauche                            ,Paris SG
Bernat,Juan ,1 mars 1993(25),7,Arrière gauche                            ,Paris SG
Kurzawa,Layvin ,4 sept. 1992(26),-,Arrière gauche                            ,Paris SG
Silva,Thiago ,22 sept. 1984(34),11,Défenseur central                            ,Paris SG
Kehrer,Thilo ,21 sept. 1996(22),8,Défenseur central                            ,Paris SG
Kimpembe,Presnel ,13 août 1995(23),8,Défenseur central                            ,Paris SG
Marquinhos,,14 mai 1994(24),11,Défenseur central                            ,Paris SG
Cibois,Sébastien ,2 mars 1998(20),-,Gardien de but                            ,Paris SG
Buffon,Gianluigi ,28 janv. 1978(40),6,Gardien de but                            ,Paris SG
Areola,Alphonse ,27 févr. 1993(25),7,Gardien de but                            ,Paris SG
Julan,Nathaël ,19 juil. 1996(22),4,Avant centre                            ,EA Guingamp
Doré,Férébory ,21 janv. 1989(29),Journée,Avant centre                            ,SCO Angers
Kanga,Wilfried ,21 févr. 1998(20),7,Avant centre                            ,SCO Angers
López,Cristian ,24 juil. 1989(29),2,Avant centre                            ,SCO Angers
Bahoken,Stéphane ,28 mai 1992(26),7,Avant centre                            ,SCO Angers
El Melali,Farid ,5 mai 1997(21),2,Ailier droit                            ,SCO Angers
Reine-Adélaïde,Jeff ,17 janv. 1998(20),9,Ailier droit                            ,SCO Angers
Touré,Thomas ,27 déc. 1993(24),Journée,Ailier gauche                            ,SCO Angers
Tait,Flavien ,2 févr. 1993(25),9,Ailier gauche                            ,SCO Angers
Bertrand,Dorian ,21 mai 1993(25),-,Milieu offensif                            ,SCO Angers
