nom;prenom;age;totalbut;poste;equipe
;;;;;
Weah;Timothy;22févr.2000(18);3;Avantcentre;ParisSG
;;;;;
Ngamukol;Anatole;15janv.1988(30);Journée;Avantcentre;StadeReims
;;;;;
Chavarría;Pablo;2janv.1988(30);10;Avantcentre;StadeReims
;;;;;
Suk;Hyun-jun;29juin1991(27);9;Avantcentre;StadeReims
;;;;;
Ojo;Sheyi;19juin1997(21);8;Ailierdroit;StadeReims
;;;;;
Oudin;Rémi;18nov.1996(21);10;Ailierdroit;StadeReims
;;;;;
Doumbia;Moussa;15août1994(24);7;Ailiergauche;StadeReims
;;;;;
Piechocki;Virgile;12janv.1997(21);Journée;;StadeReims
;;;;;
Martin;Marvin;10janv.1988(30);6;Milieuoffensif;StadeReims
;;;;;
Cafaro;Mathieu;25mars1997(21);9;Milieuoffensif;StadeReims
;;;;;
Ndom;Aly;30mai1996(22);5;Milieucentral;StadeReims
;;;;;
Dingomé;Tristan;17févr.1991(27);Journée;Milieucentral;StadeReims
;;;;;
Chavalerin;Xavier;7mars1991(27);9;Milieucentral;StadeReims
;;;;;
Mbemba;Nolan;19févr.1995(23);3;;StadeReims
;;;;;
Romao;Alaixys;18janv.1984(34);10;Milieudéfensif;StadeReims
;;;;;
Métanire;Romain;28mars1990(28);4;Arrièredroit;StadeReims
;;;;;
Foket;Thomas;25sept.1994(24);14;Arrièredroit;StadeReims
;;;;;
Bana;Moussa;1oct.1997(21);Journée;;StadeReims
;;;;;
Kamara;Hassane;5mars1994(24);3;Arrièregauche;StadeReims
;;;;;
Konan;Ghislain;27déc.1995(22);10;Arrièregauche;StadeReims
;;;;;
Disasi;Axel;11mars1998(20);1;Défenseurcentral;StadeReims
;;;;;
Fontaine;Thomas;8mai1991(27);4;Défenseurcentral;StadeReims
;;;;;
Abdelhamid;Yunis;28sept.1987(31);10;Défenseurcentral;StadeReims
;;;;;
Engels;Björn;15sept.1994(24);6;Défenseurcentral;StadeReims
;;;;;
Lemaître;Nicolas;12janv.1997(21);Journée;;StadeReims
;;;;;
Carrasso;Johann;7mai1988(30);-;Gardiendebut;StadeReims
;;;;;
Mendy;Edouard;1mars1992(26);10;Gardiendebut;StadeReims
;;;;;
Choupo-Moting;EricMaxim;23mars1989(29);4;Avantcentre;ParisSG
;;;;;
Cavani;Edinson;14févr.1987(31);9;Avantcentre;ParisSG
;;;;;
Diaby;Moussa;7juil.1999(19);7;Ailierdroit;ParisSG
;;;;;
DiMaría;Ángel;14févr.1988(30);13;Ailierdroit;ParisSG
;;;;;
Mbappé;Kylian;20déc.1998(19);8;Ailierdroit;ParisSG
;;;;;
Jesé;;26févr.1993(25);Journée;Ailiergauche;ParisSG
;;;;;
Neymar;;5févr.1992(26);11;Ailiergauche;ParisSG
;;;;;
Adli;Yacine;29juil.2000(18);Journée;Milieuoffensif;ParisSG
;;;;;
Draxler;Julian;20sept.1993(25);10;Milieuoffensif;ParisSG
;;;;;
Bernede;Antoine;26mai1999(19);3;Milieucentral;ParisSG
;;;;;
Nkunku;Christopher;14nov.1997(20);10;Milieucentral;ParisSG
;;;;;
Rabiot;Adrien;3avr.1995(23);12;Milieucentral;ParisSG
;;;;;
Verratti;Marco;5nov.1992(25);8;Milieucentral;ParisSG
;;;;;
Diarra;Lassana;10mars1985(33);4;Milieudéfensif;ParisSG
;;;;;
Dagba;Colin;6sept.1998(20);4;Arrièredroit;ParisSG
;;;;;
Alves;Dani;6mai1983(35);Journée;Arrièredroit;ParisSG
;;;;;
Meunier;Thomas;12sept.1991(27);9;Arrièredroit;ParisSG
;;;;;
N'Soki;Stanley;9avr.1999(19);5;Arrièregauche;ParisSG
